ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,טכנולוגיית שידור
4276,פלאפון,935701,הרצליה,נעמי שמר 3377,הרצליה,הרצליה,181950,674498,אתר זעיר פנימי,02/07/2018,04/05/2023,01/05/2023,יש היתר,17.6,3.482,מול אנטנה כלל כיוונית במרחק 0.5 מטר ממנה.,דור 3 4
4248,פלאפון,934051,הוד השרון,הרקון 2,הוד השרון,הוד השרון,190947,671040,אתר זעיר פנימי,19/02/2018,04/05/2023,01/05/2023,יש היתר,16.9,3.247,מול אנטנה כלל כיוונית במרחק 0.5 מטר ממנה.,דור 3 4
6631,פלאפון,420673,חיפה,דרך פלימן חוצות היוצר,חיפה,חיפה,197320,743830,אתר זעיר פנימי,28/10/2012,07/05/2023,01/05/2023,יש היתר,5.1,0.7,בשטח המבנה,דור 3
160,PHI (משרת את הוט ופרטנר),WI0899B,הרצליה,אבא אבן פינת נעמי שמר,עירית הרצליה,הרצליה,181895,674468,אתר זעיר פנימי,15/07/2018,09/05/2023,01/05/2023,יש היתר,17.6,3.48,מול אנטנה כלל כיוונית במרחק 0.5 מטר,דור  3
1155,PHI (משרת את הוט ופרטנר),WI6553C,הוד השרון,רח` הרקון 2,עירית הוד השרון,הוד השרון,190934,671075,אתר זעיר פנימי,19/02/2018,09/05/2023,01/05/2023,יש היתר,16.9,3.25,במפלס הרצפה מול אנטנת פנל במרחק 0.6 מטר,דור  3 4
1343,PHI (משרת את הוט ופרטנר),WE3252A,הוד השרון,שטח פתוח דרום הוד השרון,עירית הוד השרון,הוד השרון,188874,671118,תורן קרקעי,28/08/2022,11/05/2023,01/05/2023,יש היתר,.0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום,דור  3 4
4361,סלקום,1699,שפרעם,"עמוד ח""ח ליד הכניסה דרומית לשפרעם",עמק יזרעאל,עדי,216681,743970,תורן קרקעי,24/08/2022,25/12/2023,01/08/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4 5
3031,סלקום,4524,אלמגור,"כק""מ מהצטלבות כב` 87-8277",עמק הירדן,עמק הירדן,255041,755194,תורן קרקעי,25/03/2021,07/06/2021,01/10/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
6336,סלקום,701,רמת השרון,פנימית הכפר הירוק - מטע אבוקדו,רמת השרון,רמת השרון,182680,671517,תורן קרקעי,08/08/2023,01/01/2024,01/10/2023,יש היתר,4.2,0.45,סככת שירות פועלים,דור 2 3 4 5
3494,סלקום,4743,יראון,בסמוך ללולים בדרום הקיבוץ,הגליל העליון,הגליל העליון,242541,775385,תורן קרקעי,17/07/2011,17/06/2021,01/10/2023,יש היתר,1.8,0.37,לול,דור 2 3 4
3929,סלקום,1661,נופים,ליד חוות סוסים,שומרון,שטח ללא שיפוט,210056,673115,תורן קרקעי,26/04/2021,29/02/2024,01/10/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
947,PHI (משרת את הוט ופרטנר),WI6425A,תל אביב,היכל נוקיה רח` יגאל אלון יד אליהו,עירית תל אביב,תל אביב יפו,180447,663173,אתר זעיר פנימי,04/06/2023,12/11/2023,01/11/2023,יש היתר,2.7,0.27,במפלס הרצפה מול אנטנת B34x2065-V00 במרחק 2 מטר,דור  3 4 5
